Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Metro,2005,7116959,296540,26239013,0,0,349051,3706712,0
Metro,2010,7350476,306270,23783866,0,0,370541,3602591,179654
Metro,2020,7184628,242804,28399703,358176,0,522475,5246720,145816
Metro,2025,7184628,299359,30689064.83,1859245.84,0,544519.33,5550676.22,179654
Metro,2030,7184628,299359,32978426.66,3360315.68,0,566563.66,5854632.44,179654
Metro,2035,7184628,299359,35267788.49,4861385.52,0,588607.99,6158588.66,179654
Metro,2040,7184628,299359,37557150.32,6362455.36,0,610652.32,6462544.88,179654
Metro,2045,7184628,299359,39846512.15,7863525.2,0,632696.65,6766501.1,179654
Metro,2050,7184628,299359,41563533.52,8989327.58,0,649229.8975,6994468.265,544359
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
