Geo,Year,CenterPropWkrPay,CenterPropNonWrkTripPay,InnerPropWkrPay,InnerPropNonWrkTripPay,OuterPropWkrPay,OuterPropNonWrkTripPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
SalemKeizer,2035,0.2361,0.2092,0.015,0,0,0,0.9,0.9,0,2.053404806,1.540053605,0
SalemKeizer,2040,0.2345,0.1996,0.02,0,0,0,0.9,0.9,0,2.138934602,1.604200952,0
SalemKeizer,2045,0.2335,0.1911,0.025,0,0,0,0.9,0.9,0,2.160754648,1.620565986,0
SalemKeizer,2050,0.2326,0.1831,0.03,0,0,0,0.9,0.9,0,2.241975226,1.68148142,0
None,1990,0,0,0,0,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0,0,0,0,0
