Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Metro,2005,7116959,296540,26239013,0,0,349051,3706712,0
Metro,2010,7350476,306270,23783866,0,0,370541,3602591,179654
Metro,2020,7184628,242804,28399703,358176,0,522475,5246720,145816
Metro,2025,7184628,299359,30192907.5,2625452,0,536323,5061565,127589
Metro,2030,7184628,299359,31986112,4892728,0,550171,4876410,109362
Metro,2035,7184628,299359,32873788.33,5541101.333,0,550171,5212244.667,109362
Metro,2040,7184628,299359,33761464.67,6189474.667,0,550171,5548079.333,109362
Metro,2045,7184628,299359,34649141,6837848,0,550171,5883914,109362
Metro,2050,7184628,299359,35314898.25,7324128,0,550171,6135790,109362
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
