Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,1990,0,0,1,0,0,0,0,0
Albany,1995,0,0,1,0,0,0,0,0
Albany,2000,0,0,1,0,0,0,0,0
Albany,2005,0,0,1,0,0,0,0,0
Albany,2010,0,0,1,0,0,0,0,0
Albany,2015,104448,0,185610,0,0,0,0,0
Albany,2020,128357,0,352309,0,0,0,0,0
Albany,2025,126703,0,367348,0,0,0,0,0
Albany,2030,132171,0,398957,0,0,0,0,0
Albany,2035,132013,0,423941,0,0,0,0,0
Albany,2040,131547,0,451682,0,0,0,0,0
Albany,2045,130936,0,483475,0,0,0,0,0
Albany,2050,130296,0,520179,0,0,0,0,0
Bend,1990,0,0,1,0,0,0,0,0
Bend,1995,0,0,1,0,0,0,0,0
Bend,2000,0,0,1,0,0,0,0,0
Bend,2005,0,0,1,0,0,0,0,0
Bend,2010,148197,0,266086,0,0,0,0,0
Bend,2015,276665,0,277486,348990,0,0,0,0
Bend,2020,300983,0,393430,494811,0,0,0,0
Bend,2025,302137,0,407838,512932,0,0,0,0
Bend,2030,312249,0,434117,545982,0,0,0,0
Bend,2035,315543,0,456042,573557,0,0,0,0
Bend,2040,318654,0,480220,603966,0,0,0,0
Bend,2045,321788,0,507599,638400,0,0,0,0
Bend,2050,325192,0,538905,677772,0,0,0,0
Corvallis,1990,0,0,1,0,0,0,0,0
Corvallis,1995,0,0,1,0,0,0,0,0
Corvallis,2000,0,0,1,0,0,0,0,0
Corvallis,2005,0,0,1,0,0,0,0,0
Corvallis,2010,0,0,373922,0,0,0,0,0
Corvallis,2015,295748,0,433752,99531,0,0,0,0
Corvallis,2020,277030,0,553644,127042,0,0,0,0
Corvallis,2025,268618,0,562631,129104,0,0,0,0
Corvallis,2030,273705,0,596063,136776,0,0,0,0
Corvallis,2035,268386,0,618230,141862,0,0,0,0
Corvallis,2040,262732,0,643828,147736,0,0,0,0
Corvallis,2045,257030,0,674468,154767,0,0,0,0
Corvallis,2050,251686,0,711519,163269,0,0,0,0
EugeneSpringfield,1990,421365,0,3310462,0,0,0,0,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
EugeneSpringfield,2010,1965953,271363,3538936,0,0,0,0,0
EugeneSpringfield,2015,4408741,470742,2817774,429059,0,0,0,0
EugeneSpringfield,2020,5862892,626009,4014259,611246,0,0,0,0
EugeneSpringfield,2025,5764381,615490,3989953,607545,0,0,0,0
EugeneSpringfield,2030,5246686,560213,3706153,564331,0,0,0,0
EugeneSpringfield,2035,5401305,576723,3859300,587651,0,0,0,0
EugeneSpringfield,2040,5591047,596982,4042002,615471,0,0,0,0
EugeneSpringfield,2045,5819539,621380,4258739,648473,0,0,0,0
EugeneSpringfield,2050,6083344,649547,4508713,686536,0,0,0,0
GrantsPass,1990,0,0,1,0,0,0,0,0
GrantsPass,1995,0,0,1,0,0,0,0,0
GrantsPass,2000,0,0,1,0,0,0,0,0
GrantsPass,2005,0,0,1,0,0,0,0,0
GrantsPass,2010,0,0,1,0,0,0,0,0
GrantsPass,2015,84887,0,178583,194843,0,0,0,0
GrantsPass,2020,78615,0,235985,257472,0,0,0,0
GrantsPass,2025,78299,0,245536,267893,0,0,0,0
GrantsPass,2030,84538,0,271107,295791,0,0,0,0
GrantsPass,2035,85131,0,286712,312817,0,0,0,0
GrantsPass,2040,85314,0,303336,330955,0,0,0,0
GrantsPass,2045,85246,0,321880,351187,0,0,0,0
GrantsPass,2050,85227,0,343347,374609,0,0,0,0
Metro,1990,3699357,0,18374078,0,0,0,1365584,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
Metro,2010,7770491,300378,21691044,0,0,0,4211187,118207
Metro,2015,8809328,399061,23745459,794457,0,358823,7836651,193393
Metro,2020,9246149,418849,28685599,959740,0,376616,8225241,202982.6327
Metro,2025,9447053,427950,29771708,996079,0,384799,8403962,207393.117
Metro,2030,9780084,443036,31332589,1048301,0,398364,8700222,214704.2083
Metro,2035,10106703,457832,32978301,1103362,0,411668,8990777,221874.5334
Metro,2040,10472175,474388,34828862,1165277,0,426554,9315896,229897.8227
Metro,2045,10889507,493293,36949789,1236237,0,443553,9687148,239059.6005
Metro,2050,11365436,514852,39378947,1317510,0,462939,10110528,249507.7736
RogueValley,1990,180887,0,295148,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
RogueValley,2010,382639,0,607922,0,0,0,0,0
RogueValley,2015,502358,0,755065,0,0,0,0,0
RogueValley,2020,565092,0,1115219,0,0,0,0,0
RogueValley,2025,565057,0,1153645,0,0,0,0,0
RogueValley,2030,595753,0,1246642,0,0,0,0,0
RogueValley,2035,601208,0,1308916,0,0,0,0,0
RogueValley,2040,605255,0,1376148,0,0,0,0,0
RogueValley,2045,608667,0,1451652,0,0,0,0,0
RogueValley,2050,612555,0,1538489,0,0,0,0,0
SalemKeizer,1990,0,0,1611260,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
SalemKeizer,2010,3485995,223173,2019554,0,0,0,0,0
SalemKeizer,2015,5316303,597878,2059616,0,0,0,0,0
SalemKeizer,2020,5868383,659966,2817519,0,0,0,0,0
SalemKeizer,2025,5944726,668551,2925831,0,0,0,0,0
SalemKeizer,2030,6188289,695943,3116078,0,0,0,0,0
SalemKeizer,2035,6322150,710997,3278588,0,0,0,0,0
SalemKeizer,2040,6465339,727100,3459188,0,0,0,0,0
SalemKeizer,2045,6622339,744756,3664018,0,0,0,0,0
SalemKeizer,2050,6793169,763968,3895935,0,0,0,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
