Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
Baker,1990,0.3,0,0
Baker,1995,0.4,0,0
Baker,2000,0.5,0,0
Baker,2005,0.55,0,0
Baker,2010,0.65,0,0
Baker,2015,0.75,0.002,0
Baker,2020,0.775,0.004,0
Baker,2025,0.8,0.006,0
Baker,2030,0.825,0.008,0
Baker,2035,0.85,0.01,0
Baker,2040,0.85,0.012,0
Baker,2045,0.85,0.014,0
Baker,2050,0.85,0.025,0
Benton,1990,0.4,0,0
Benton,1995,0.5,0,0
Benton,2000,0.6,0,0
Benton,2005,0.65,0,0
Benton,2010,0.75,0,0
Benton,2015,0.85,0.002,0.003
Benton,2020,0.875,0.016,0.038285714
Benton,2025,0.9,0.03,0.073571429
Benton,2030,0.925,0.044,0.108857143
Benton,2035,0.95,0.058,0.144142857
Benton,2040,0.95,0.072,0.179428571
Benton,2045,0.95,0.086,0.214714286
Benton,2050,0.95,0.1,0.25
Clackamas,1990,0.4,0,0
Clackamas,1995,0.5,0,0
Clackamas,2000,0.6,0,0
Clackamas,2005,0.65,0,0
Clackamas,2010,0.75,0,0
Clackamas,2015,0.85,0.002,0.003
Clackamas,2020,0.875,0.016,0.038285714
Clackamas,2025,0.9,0.03,0.073571429
Clackamas,2030,0.925,0.044,0.108857143
Clackamas,2035,0.95,0.058,0.144142857
Clackamas,2040,0.95,0.072,0.179428571
Clackamas,2045,0.95,0.086,0.214714286
Clackamas,2050,0.95,0.1,0.25
Clatsop,1990,0.3,0,0
Clatsop,1995,0.4,0,0
Clatsop,2000,0.5,0,0
Clatsop,2005,0.55,0,0
Clatsop,2010,0.65,0,0
Clatsop,2015,0.75,0.002,0
Clatsop,2020,0.775,0.004,0
Clatsop,2025,0.8,0.006,0
Clatsop,2030,0.825,0.008,0
Clatsop,2035,0.85,0.01,0
Clatsop,2040,0.85,0.012,0
Clatsop,2045,0.85,0.014,0
Clatsop,2050,0.85,0.025,0
Columbia,1990,0.3,0,0
Columbia,1995,0.4,0,0
Columbia,2000,0.5,0,0
Columbia,2005,0.55,0,0
Columbia,2010,0.65,0,0
Columbia,2015,0.75,0.002,0
Columbia,2020,0.775,0.004,0
Columbia,2025,0.8,0.006,0
Columbia,2030,0.825,0.008,0
Columbia,2035,0.85,0.01,0
Columbia,2040,0.85,0.012,0
Columbia,2045,0.85,0.014,0
Columbia,2050,0.85,0.025,0
Coos,1990,0.3,0,0
Coos,1995,0.4,0,0
Coos,2000,0.5,0,0
Coos,2005,0.55,0,0
Coos,2010,0.65,0,0
Coos,2015,0.75,0.002,0
Coos,2020,0.775,0.004,0
Coos,2025,0.8,0.006,0
Coos,2030,0.825,0.008,0
Coos,2035,0.85,0.01,0
Coos,2040,0.85,0.012,0
Coos,2045,0.85,0.014,0
Coos,2050,0.85,0.025,0
Crook,1990,0.3,0,0
Crook,1995,0.4,0,0
Crook,2000,0.5,0,0
Crook,2005,0.55,0,0
Crook,2010,0.65,0,0
Crook,2015,0.75,0.002,0
Crook,2020,0.775,0.004,0
Crook,2025,0.8,0.006,0
Crook,2030,0.825,0.008,0
Crook,2035,0.85,0.01,0
Crook,2040,0.85,0.012,0
Crook,2045,0.85,0.014,0
Crook,2050,0.85,0.025,0
Curry,1990,0.3,0,0
Curry,1995,0.4,0,0
Curry,2000,0.5,0,0
Curry,2005,0.55,0,0
Curry,2010,0.65,0,0
Curry,2015,0.75,0.002,0
Curry,2020,0.775,0.004,0
Curry,2025,0.8,0.006,0
Curry,2030,0.825,0.008,0
Curry,2035,0.85,0.01,0
Curry,2040,0.85,0.012,0
Curry,2045,0.85,0.014,0
Curry,2050,0.85,0.025,0
Deschutes,1990,0.4,0,0
Deschutes,1995,0.5,0,0
Deschutes,2000,0.6,0,0
Deschutes,2005,0.65,0,0
Deschutes,2010,0.75,0,0
Deschutes,2015,0.85,0.002,0.003
Deschutes,2020,0.875,0.016,0.038285714
Deschutes,2025,0.9,0.03,0.073571429
Deschutes,2030,0.925,0.044,0.108857143
Deschutes,2035,0.95,0.058,0.144142857
Deschutes,2040,0.95,0.072,0.179428571
Deschutes,2045,0.95,0.086,0.214714286
Deschutes,2050,0.95,0.1,0.25
Douglas,1990,0.3,0,0
Douglas,1995,0.4,0,0
Douglas,2000,0.5,0,0
Douglas,2005,0.55,0,0
Douglas,2010,0.65,0,0
Douglas,2015,0.75,0.002,0
Douglas,2020,0.775,0.004,0
Douglas,2025,0.8,0.006,0
Douglas,2030,0.825,0.008,0
Douglas,2035,0.85,0.01,0
Douglas,2040,0.85,0.012,0
Douglas,2045,0.85,0.014,0
Douglas,2050,0.85,0.025,0
Gilliam,1990,0.3,0,0
Gilliam,1995,0.4,0,0
Gilliam,2000,0.5,0,0
Gilliam,2005,0.55,0,0
Gilliam,2010,0.65,0,0
Gilliam,2015,0.75,0.002,0
Gilliam,2020,0.775,0.004,0
Gilliam,2025,0.8,0.006,0
Gilliam,2030,0.825,0.008,0
Gilliam,2035,0.85,0.01,0
Gilliam,2040,0.85,0.012,0
Gilliam,2045,0.85,0.014,0
Gilliam,2050,0.85,0.025,0
Grant,1990,0.3,0,0
Grant,1995,0.4,0,0
Grant,2000,0.5,0,0
Grant,2005,0.55,0,0
Grant,2010,0.65,0,0
Grant,2015,0.75,0.002,0
Grant,2020,0.775,0.004,0
Grant,2025,0.8,0.006,0
Grant,2030,0.825,0.008,0
Grant,2035,0.85,0.01,0
Grant,2040,0.85,0.012,0
Grant,2045,0.85,0.014,0
Grant,2050,0.85,0.025,0
Harney,1990,0.3,0,0
Harney,1995,0.4,0,0
Harney,2000,0.5,0,0
Harney,2005,0.55,0,0
Harney,2010,0.65,0,0
Harney,2015,0.75,0.002,0
Harney,2020,0.775,0.004,0
Harney,2025,0.8,0.006,0
Harney,2030,0.825,0.008,0
Harney,2035,0.85,0.01,0
Harney,2040,0.85,0.012,0
Harney,2045,0.85,0.014,0
Harney,2050,0.85,0.025,0
Hood River,1990,0.3,0,0
Hood River,1995,0.4,0,0
Hood River,2000,0.5,0,0
Hood River,2005,0.55,0,0
Hood River,2010,0.65,0,0
Hood River,2015,0.75,0.002,0
Hood River,2020,0.775,0.004,0
Hood River,2025,0.8,0.006,0
Hood River,2030,0.825,0.008,0
Hood River,2035,0.85,0.01,0
Hood River,2040,0.85,0.012,0
Hood River,2045,0.85,0.014,0
Hood River,2050,0.85,0.025,0
Jackson,1990,0.4,0,0
Jackson,1995,0.5,0,0
Jackson,2000,0.6,0,0
Jackson,2005,0.65,0,0
Jackson,2010,0.75,0,0
Jackson,2015,0.85,0.002,0.003
Jackson,2020,0.875,0.016,0.038285714
Jackson,2025,0.9,0.03,0.073571429
Jackson,2030,0.925,0.044,0.108857143
Jackson,2035,0.95,0.058,0.144142857
Jackson,2040,0.95,0.072,0.179428571
Jackson,2045,0.95,0.086,0.214714286
Jackson,2050,0.95,0.1,0.25
Jefferson,1990,0.3,0,0
Jefferson,1995,0.4,0,0
Jefferson,2000,0.5,0,0
Jefferson,2005,0.55,0,0
Jefferson,2010,0.65,0,0
Jefferson,2015,0.75,0.002,0
Jefferson,2020,0.775,0.004,0
Jefferson,2025,0.8,0.006,0
Jefferson,2030,0.825,0.008,0
Jefferson,2035,0.85,0.01,0
Jefferson,2040,0.85,0.012,0
Jefferson,2045,0.85,0.014,0
Jefferson,2050,0.85,0.025,0
Josephine,1990,0.4,0,0
Josephine,1995,0.5,0,0
Josephine,2000,0.6,0,0
Josephine,2005,0.65,0,0
Josephine,2010,0.75,0,0
Josephine,2015,0.85,0.002,0.003
Josephine,2020,0.875,0.016,0.038285714
Josephine,2025,0.9,0.03,0.073571429
Josephine,2030,0.925,0.044,0.108857143
Josephine,2035,0.95,0.058,0.144142857
Josephine,2040,0.95,0.072,0.179428571
Josephine,2045,0.95,0.086,0.214714286
Josephine,2050,0.95,0.1,0.25
Klamath,1990,0.3,0,0
Klamath,1995,0.4,0,0
Klamath,2000,0.5,0,0
